ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
LAX,Los Angeles International Airport,33.94254,-118.40807,209631,5.286918442405942,20.4
LBB,Lubbock Preston Smith International Airport,33.66364,-101.82278,4888,6.426759410801964,16.49
LBE,Arnold Palmer Regional Airport,40.27594,-79.4048,1360,7.203676470588236,23.24
LCH,Lake Charles Regional Airport,30.1261,-93.2234,1993,0.03763171098845961,13.05
LEX,Blue Grass Airport,38.03697,-84.60539,6384,2.226973684210526,15.3
LFT,Lafayette Regional Airport,30.20528,-91.98766,5428,7.12656595431098,19.25
LGA,LaGuardia Airport (Marine Air Terminal),40.77724,-73.87261,103281,5.043357442317561,23.39
LGB,Long Beach Airport (Daugherty Field),33.81772,-118.15161,9475,4.025751978891821,17.87
LIH,Lihue Airport,21.97598,-159.33896,11365,-1.0581610206775187,9.86
LIT,Bill and Hillary Clinton National Airport (Adams Field),34.7294,-92.22425,11167,5.26049968657652,18.43
LNK,Lincoln Airport (Lincoln Municipal),40.85097,-96.75925,2850,4.08140350877193,15.33
LRD,Laredo International Airport,27.54374,-99.46154,2324,2.391566265060241,13.34
LSE,La Crosse Regional Airport,43.87938,-91.25654,1746,1.8980526918671248,15.75
LWS,Lewiston-Nez Perce County Airport,46.3745,-117.01539,641,-6.889235569422777,4.21
MAF,Midland International Airport,31.94253,-102.20191,7844,5.494135645079042,16.98
MBS,MBS International Airport,43.53291,-84.07965,1794,4.908584169453735,17.06
MCI,Kansas City International Airport,39.29761,-94.71391,41642,3.638177801258345,16.31
MCO,Orlando International Airport,28.42889,-81.31603,118538,6.402613507904638,19.76
MDT,Harrisburg International Airport,40.1935,-76.7634,3495,1.6512160228898427,14.74
MDW,Chicago Midway International Airport,41.78598,-87.75242,86283,5.280854861328419,20.93
MEI,Meridian Regional Airport,32.33313,-88.75121,970,7.949484536082474,21.24
MEM,Memphis International Airport,35.04242,-89.97667,15891,3.7824554779434902,16.69
MFE,McAllen-Miller International Airport (McAllen Miller International),26.17583,-98.23861,3525,3.710921985815603,14.13
MFR,Rogue Valley International Airport,42.37423,-122.8735,2670,3.9891385767790264,16.7
MGM,Montgomery Regional Airport,32.30064,-86.39398,3412,6.945486518171161,19.78
MHK,Manhattan Regional Airport,39.14097,-96.67083,1711,1.9608416130917592,16.19
MHT,Manchester-Boston Regional Airport,42.93452,-71.43706,6686,-0.24783128926114267,14.31
MIA,Miami International Airport,25.79325,-80.29056,74230,6.493089047554897,22.4
MKE,General Mitchell International Airport,42.94722,-87.89658,31803,2.1220010690815334,16.5
MKG,Muskegon County Airport,43.16949,-86.23822,680,5.8691176470588236,20.59
MLB,Melbourne International Airport,28.10275,-80.64581,1438,1.7809457579972183,12.31
MLI,Quad City International Airport,41.44853,-90.50754,3922,6.284293727689954,19.66
MLU,Monroe Regional Airport,32.51087,-92.03769,3150,7.005396825396826,18.0
MMH,Mammoth Yosemite Airport,37.62405,-118.83777,140,7.928571428571429,30.0
MOB,Mobile Regional Airport,30.69142,-88.24283,5333,6.909806862928933,18.51
MOT,Minot International Airport,48.25938,-101.28033,2037,2.0382916053019144,14.58
MQT,Sawyer International Airport,46.35364,-87.39536,322,1.68944099378882,18.94
MRY,Monterey Regional Airport (Monterey Peninsula Airport),36.58698,-121.84295,3068,5.936440677966102,17.18
MSN,Dane County Regional Airport,43.13986,-89.33751,9667,2.6748732802317163,15.79
MSO,Missoula International Airport,46.91631,-114.09056,2224,-1.5723920863309353,10.66
MSP,Minneapolis-Saint Paul International Airport,44.88055,-93.21692,121607,1.5286948942083927,15.82
MSY,Louis Armstrong New Orleans International Airport,29.99339,-90.25803,41938,3.3186370356240165,16.37
MTJ,Montrose Regional Airport,38.50887,-107.89383,972,2.4886831275720165,17.49
MVY,Martha's Vineyard Airport,41.39303,-70.61433,216,12.356481481481481,24.54
MYR,Myrtle Beach International Airport,33.67975,-78.92833,5231,7.083922768113172,21.56
OAJ,Albert J. Ellis Airport,34.82916,-77.61214,1230,9.559349593495934,18.29
OAK,Oakland International Airport,37.72129,-122.22072,45663,6.157983487725292,19.92
OGG,Kahului Airport,20.89865,-156.43046,22291,0.876003768336997,12.89
OKC,Will Rogers World Airport,35.39309,-97.60073,17424,4.441402662993572,16.91
OMA,Eppley Airfield,41.30252,-95.89417,17934,3.217129474740716,16.23
OME,Nome Airport,64.5122,-165.44525,689,8.283018867924529,21.77
ONT,Ontario International Airport,34.056,-117.60119,19503,4.0137927498333585,16.59
ORD,Chicago O'Hare International Airport,41.9796,-87.90446,304120,7.59611995265027,23.12
ORF,Norfolk International Airport,36.89461,-76.20122,9996,3.494097639055622,16.62
