ROUTE,ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,flights,delayed_flights,avg_arrival_delay,delayed_15_rate,delayed_15_pct,adjusted_delay_rate,adjusted_delay_pct,flights_normalized,avg_arrival_delay_positive,avg_delay_normalized,delay_impact_score,cluster,pca_1,pca_2
SLC-TWF,SLC,Salt Lake City International Airport,TWF,Magic Valley Regional Airport (Joslin Field),40.78839,-111.97777,42.4818,-114.48774,893,93,6.615901455767077,0.1041433370660694,10.41,0.112397872103553,11.24,6.051775548929249,6.615901455767077,1.7364570750044823,8.52,2,-3.07977004654333,0.4921205330248826
AUS-BNA,AUS,Austin-Bergstrom International Airport,BNA,Nashville International Airport,30.19453,-97.66987,36.12448,-86.67818,678,73,7.033923303834809,0.107669616519174,10.77,0.1177520398442521,11.78,4.594741122255354,7.033923303834809,1.8461740954947004,8.49,2,-3.0110988400478136,0.2750382569120686
CDC-SLC,CDC,Cedar City Regional Airport,SLC,Salt Lake City International Airport,37.70097,-113.09858,40.78839,-111.97777,625,67,8.6496,0.1072,10.72,0.1180842579294181,11.81,4.235565193819464,8.6496,2.270236220472441,8.49,2,-2.8441020185818426,0.09548964276928582
SEA-MKE,SEA,Seattle-Tacoma International Airport,MKE,General Mitchell International Airport,47.44898,-122.30931,42.94722,-87.89658,597,65,6.770519262981575,0.1088777219430485,10.89,0.1199585179323215,12.0,4.045811873136351,6.770519262981575,1.777039176635584,8.48,2,-3.033293785580352,0.23166146185792358
SLC-RNO,SLC,Salt Lake City International Airport,RNO,Reno/Tahoe International Airport,40.78839,-111.97777,39.49858,-119.76806,1041,105,5.508165225744476,0.100864553314121,10.09,0.1083357467123822,10.83,7.054757386825698,5.508165225744476,1.4457126576757156,8.48,2,-3.2394370595821695,0.7201351141225127
SLC-FAT,SLC,Salt Lake City International Airport,FAT,Fresno Yosemite International Airport,40.78839,-111.97777,36.77619,-119.71814,941,96,6.685441020191286,0.1020191285866099,10.2,0.1100971056665015,11.01,6.377066955814584,6.685441020191286,1.7547089291840647,8.46,2,-3.107732397842603,0.5365274626703112
TWF-SLC,TWF,Magic Valley Regional Airport (Joslin Field),SLC,Salt Lake City International Airport,42.4818,-114.48774,40.78839,-111.97777,892,92,6.429372197309417,0.1031390134529148,10.31,0.1115031118939799,11.15,6.044998644619138,6.429372197309417,1.6874992643856737,8.45,2,-3.1278117547299686,0.5175118092005097
OGG-OAK,OGG,Kahului Airport,OAK,Oakland International Airport,20.89865,-156.43046,37.72129,-122.22072,725,76,8.190344827586207,0.1048275862068965,10.48,0.114680105453125,11.47,4.913255624830577,8.190344827586207,2.149696805140737,8.43,2,-2.930038991648209,0.22858541640161592
BUR-SEA,BUR,Bob Hope Airport (Hollywood Burbank Airport),SEA,Seattle-Tacoma International Airport,34.20062,-118.3585,47.44898,-122.30931,1124,110,5.508007117437723,0.097864768683274,9.79,0.1050744174827027,10.51,7.617240444564922,5.508007117437723,1.4456711594324732,8.43,2,-3.2824631189812905,0.8005052955572609
PWM-ATL,PWM,Portland International Jetport,ATL,Hartsfield-Jackson Atlanta International Airport,43.64617,-70.30875,33.64044,-84.42694,688,71,11.138081395348838,0.1031976744186046,10.32,0.1137196535518123,11.37,4.662510165356465,11.138081395348838,2.923380943661112,8.43,2,-2.6295084653270067,-0.05095630316287861
BDL-MSP,BDL,Bradley International Airport,MSP,Minneapolis-Saint Paul International Airport,41.93887,-72.68323,44.88055,-93.21692,924,94,6.6645021645021645,0.1017316017316017,10.17,0.1099717646472931,11.0,6.261859582542694,6.6645021645021645,1.7492131665360011,8.43,2,-3.122277879031077,0.5301133259961817
BOI-MSP,BOI,Boise Airport (Boise Air Terminal),MSP,Minneapolis-Saint Paul International Airport,43.56444,-116.22278,44.88055,-93.21692,790,80,10.748101265822784,0.1012658227848101,10.13,0.1107989741559866,11.08,5.353754404987802,10.748101265822784,2.8210239542841955,8.41,2,-2.693381946906995,0.07136132678994794
GCC-DEN,GCC,Gillette-Campbell County Airport,DEN,Denver International Airport,44.3489,-105.53936,39.85841,-104.667,684,72,7.507309941520468,0.1052631578947368,10.53,0.1155753660699338,11.56,4.635402548116021,7.507309941520468,1.970422556829519,8.39,2,-3.010915122730849,0.2586892269065832
BUF-ATL,BUF,Buffalo Niagara International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,42.94052,-78.73217,33.64044,-84.42694,1708,139,6.712529274004684,0.0813817330210772,8.14,0.0871742737825376,8.72,11.57495256166983,6.712529274004684,1.7618187070878435,8.39,2,-3.333763409962794,1.1946930116038068
IND-LAS,IND,Indianapolis International Airport,LAS,McCarran International Airport,39.71733,-86.29438,36.08036,-115.15233,944,95,6.713983050847458,0.1006355932203389,10.06,0.1088228802670767,10.88,6.397397668744917,6.713983050847458,1.762200275812981,8.39,2,-3.1378976414157624,0.5488649308519129
SLC-MDW,SLC,Salt Lake City International Airport,MDW,Chicago Midway International Airport,40.78839,-111.97777,41.78598,-87.75242,848,87,6.408018867924528,0.1025943396226415,10.26,0.1114041002097343,11.14,5.746814854974248,6.408018867924528,1.6818947159906898,8.37,2,-3.157884945170173,0.4951159882868451
SJC-IAH,SJC,Norman Y. Mineta San José International Airport,IAH,George Bush Intercontinental Airport,37.36186,-121.92901,29.98047,-95.33972,512,55,6.806640625,0.107421875,10.74,0.1202795539196538,12.03,3.469775006776904,6.806640625,1.786519849081365,8.35,2,-3.079995568629024,0.18166548796769202
PDX-ATL,PDX,Portland International Airport,ATL,Hartsfield-Jackson Atlanta International Airport,45.58872,-122.5975,33.64044,-84.42694,1173,111,6.132992327365729,0.0946291560102301,9.46,0.1018154650422844,10.18,7.949308755760369,6.132992327365729,1.6097092722744697,8.34,2,-3.272695444035308,0.8040700471022227
MSP-SJC,MSP,Minneapolis-Saint Paul International Airport,SJC,Norman Y. Mineta San José International Airport,44.88055,-93.21692,37.36186,-121.92901,514,55,6.511673151750973,0.1070038910505836,10.7,0.1198877638417396,11.99,3.4833288153971265,6.511673151750973,1.7091005647640347,8.32,2,-3.1240818870064175,0.2141140070914341
OKC-SLC,OKC,Will Rogers World Airport,SLC,Salt Lake City International Airport,35.39309,-97.60073,40.78839,-111.97777,657,67,10.210045662100455,0.1019786910197869,10.2,0.1130925852032075,11.31,4.452426131743019,10.210045662100455,2.679802011049989,8.3,2,-2.7763020529409883,0.0237997908671939
ATL-PVD,ATL,Hartsfield-Jackson Atlanta International Airport,PVD,Theodore Francis Green State Airport,33.64044,-84.42694,41.724,-71.42822,1019,99,6.736015701668302,0.0971540726202159,9.72,0.1051037417326435,10.51,6.905665492003253,6.736015701668302,1.7679831237974546,8.3,2,-3.193807689150224,0.6269409319206947
BUF-LAS,BUF,Buffalo Niagara International Airport,LAS,McCarran International Airport,42.94052,-78.73217,36.08036,-115.15233,603,63,5.991708126036484,0.1044776119402985,10.45,0.1160897396853885,11.61,4.086473298997018,5.991708126036484,1.5726268047339853,8.22,2,-3.229288760406478,0.34880684885465774
OMA-SLC,OMA,Eppley Airfield,SLC,Salt Lake City International Airport,41.30252,-95.89417,40.78839,-111.97777,513,53,8.771929824561404,0.1033138401559454,10.33,0.1168206965723134,11.68,3.476551911087016,8.771929824561404,2.302343785974122,8.22,2,-2.9425673675484285,0.041723103012313155
CMH-RSW,CMH,Port Columbus International Airport,RSW,Southwest Florida International Airport,39.99799,-82.89188,26.53617,-81.75517,508,53,7.151574803149607,0.1043307086614173,10.43,0.1177813930901778,11.78,3.44266738953646,7.151574803149607,1.877053754107508,8.21,2,-3.1108913162530407,0.17680506857573203
PSP-SLC,PSP,Palm Springs International Airport,SLC,Salt Lake City International Airport,33.82922,-116.50625,40.78839,-111.97777,797,78,10.065244667503135,0.0978670012547051,9.79,0.1077046677801874,10.77,5.401192735158579,10.065244667503135,2.6417965006569912,8.21,2,-2.8548754006463115,0.17031882606888632
